h Machine_processed_jobs time_of_job_in_machine time_black_box job_class machine_time job_id machine_id
0.25 0.0 27 27 1 27 8 0
0.25 0.0 5 5 1 32 8 1
0.25 0.0 57 57 1 89 8 2
0.25 0.0 49 49 1 138 8 3
0.25 0.0 69 69 1 207 8 4
0.25 0.05 29 29 1 56 13 0
0.25 0.05 75 75 1 131 13 1
0.25 0.05 41 41 1 172 13 2
0.25 0.05 41 41 1 213 13 3
0.25 0.05 49 49 1 262 13 4
0.25 0.1 71 71 2 127 3 0
0.25 0.1 99 99 2 230 3 1
0.25 0.1 15 15 2 245 3 2
0.25 0.1 68 68 2 313 3 3
0.25 0.1 85 85 2 398 3 4
0.25 0.15 77 77 2 204 15 0
0.25 0.15 14 14 2 244 15 1
0.25 0.15 47 47 2 292 15 2
0.25 0.15 40 40 2 353 15 3
0.25 0.15 87 87 2 485 15 4
0.25 0.2 15 15 1 219 2 0
0.25 0.2 11 11 1 255 2 1
0.25 0.2 49 49 1 341 2 2
0.25 0.2 31 31 1 384 2 3
0.25 0.2 20 20 1 505 2 4
0.25 0.25 76 76 1 295 10 0
0.25 0.25 3 3 1 298 10 1
0.25 0.25 7 7 1 348 10 2
0.25 0.25 85 85 1 469 10 3
0.25 0.25 86 86 1 591 10 4
0.25 0.3 12 12 1 307 14 0
0.25 0.3 47 47 1 354 14 1
0.25 0.3 63 63 1 417 14 2
0.25 0.3 56 56 1 525 14 3
0.25 0.3 47 47 1 638 14 4
0.25 0.35 68 68.34 3 375.34000000000003 18 0
0.25 0.35 5 5.025 3 380.365 18 1
0.25 0.35 77 77.385 3 494.385 18 2
0.25 0.35 51 51.255 3 576.255 18 3
0.25 0.35 68 68.34 3 706.34 18 4
0.25 0.4 14 14 2 389.34000000000003 12 0
0.25 0.4 73 73 2 462.34000000000003 12 1
0.25 0.4 63 63 2 557.385 12 2
0.25 0.4 39 39 2 615.255 12 3
0.25 0.4 8 8 2 714.34 12 4
0.25 0.45 38 38 1 427.34000000000003 7 0
0.25 0.45 60 60 1 522.34 7 1
0.25 0.45 23 23 1 580.385 7 2
0.25 0.45 59 59 1 674.255 7 3
0.25 0.45 41 41 1 755.34 7 4
0.25 0.5 54 54.945 3 482.285 0 0
0.25 0.5 79 80.3825 3 602.7225000000001 0 1
0.25 0.5 16 16.279999999999998 3 619.0025 0 2
0.25 0.5 66 67.155 3 741.41 0 3
0.25 0.5 58 59.015 3 814.355 0 4
0.25 0.55 32 32 1 514.2850000000001 16 0
0.25 0.55 21 21 1 623.7225000000001 16 1
0.25 0.55 26 26 1 649.7225000000001 16 2
0.25 0.55 54 54 1 795.41 16 3
0.25 0.55 58 58 1 872.355 16 4
0.25 0.6 77 77 1 591.2850000000001 4 0
0.25 0.6 56 56 1 679.7225000000001 4 1
0.25 0.6 89 89 1 768.7225000000001 4 2
0.25 0.6 78 78 1 873.41 4 3
0.25 0.6 53 53 1 926.41 4 4
0.25 0.65 87 87 1 678.2850000000001 17 0
0.25 0.65 86 86 1 765.7225000000001 17 1
0.25 0.65 75 75 1 843.7225000000001 17 2
0.25 0.65 77 77 1 950.41 17 3
0.25 0.65 18 18 1 968.41 17 4
0.25 0.7 87 88.52250000000001 3 766.8075000000001 9 0
0.25 0.7 56 56.980000000000004 3 823.7875000000001 9 1
0.25 0.7 64 65.11999999999999 3 908.8425000000001 9 2
0.25 0.7 85 86.4875 3 1036.8975 9 3
0.25 0.7 13 13.2275 3 1050.125 9 4
0.25 0.75 53 53.6625 2 820.4700000000001 6 0
0.25 0.75 99 100.2375 2 924.0250000000001 6 1
0.25 0.75 60 60.75 2 984.7750000000001 6 2
0.25 0.75 13 13.1625 2 1050.06 6 3
0.25 0.75 53 53.6625 2 1103.7875 6 4
0.25 0.8 91 91 1 911.4700000000001 11 0
0.25 0.8 61 61 1 985.0250000000001 11 1
0.25 0.8 1 1 1 986.0250000000001 11 2
0.25 0.8 9 9 1 1059.06 11 3
0.25 0.8 72 72 1 1175.7875 11 4
0.25 0.85 83 83 1 994.4700000000001 1 0
0.25 0.85 3 3 1 997.4700000000001 1 1
0.25 0.85 89 89 1 1086.4700000000003 1 2
0.25 0.85 58 58 1 1144.4700000000003 1 3
0.25 0.85 56 56 1 1231.7875 1 4
0.25 0.9 36 36 1 1030.4700000000003 5 0
0.25 0.9 70 70 1 1100.4700000000003 5 1
0.25 0.9 45 45 1 1145.4700000000003 5 2
0.25 0.9 91 91 1 1236.4700000000003 5 3
0.25 0.9 35 35 1 1271.4700000000003 5 4
0.25 0.95 94 94 1 1124.4700000000003 19 0
0.25 0.95 77 77 1 1201.4700000000003 19 1
0.25 0.95 40 40 1 1241.4700000000003 19 2
0.25 0.95 31 31 1 1272.4700000000003 19 3
0.25 0.95 28 28 1 1300.4700000000003 19 4
0.25 0.0 38 38 1 38 7 0
0.25 0.0 60 60 1 98 7 1
